Time,YoY_Growth
2010.25,61.29032258064515
2010.5,66.65028262472352
2010.75,70.50946885162277
2011.0,82.73205422623897
2011.25,81.98089171974523
2011.5,38.96672073932066
2011.75,73.2657716614936
2012.0,58.86001540519723
2012.25,22.58233873508102
2012.5,27.223204810753444
2012.75,17.65264498305743
2013.0,11.271882815291168
2013.25,0.8565799617394232
2013.5,4.187287994216771
2013.75,5.653800997945413
2014.0,4.685457422654404
2014.25,5.970614047504452
2014.5,12.4119342442357
2014.75,29.52564503246866
2015.0,27.08671077421898
2015.25,32.52030348365036
2015.5,22.26337155473257
2015.75,1.7064571911151516
2016.0,-12.847784864678502
2016.25,-14.609414373551054
2016.5,-9.027009184287682
2016.75,3.2673450021088124
2017.0,4.626461221987066
2017.25,7.2005288257235955
2017.5,12.22359771194399
2017.75,12.689053107171567
2018.0,15.579627949183305
2018.25,17.303118393234662
2018.5,19.629509880370488
2018.75,-4.511116396543324
2019.0,-5.106563946546283
2019.25,1.0213085515817122
2019.5,1.8124006359300449
2019.75,8.906416795160709
2020.0,0.5136602602775042
2020.25,10.920106301919752
2020.5,1.0274828232354816
2020.75,21.368126422635836
2021.0,53.6261211050709
2021.25,36.43964145095082
2021.5,28.844786546724777
2021.75,11.222283042740866
2022.0,8.588587247722801
2022.25,1.8726821720657316
2022.5,8.140595009596918
2022.75,-5.479043123966276
2023.0,-2.5103312156911084
2023.25,-1.400691908050966
2023.5,-0.7188338916868209
2023.75,2.066510746538741
2024.0,-4.305327090978106
2024.25,4.865704121178038
2024.5,6.069409372276469
